mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
56720.369892,10.5729,0.0235,,,,,,,,,1.402,4.00,4846.44,0.0984,0.8600,3.2920,1,Ks
56730.349896,10.5813,0.0166,,,,,,,,,0.985,4.00,4140.92,0.0752,1.4000,5.0975,1,Ks
56730.350329,10.5629,0.0177,,,,,,,,,0.964,4.00,4144.42,0.0874,2.6500,0.2223,1,Ks
56734.320699,10.6028,0.0178,,,,,,,,,0.703,4.00,4982.98,0.0934,4.7100,0.5384,1,Ks
56734.321083,10.6149,0.0209,,,,,,,,,0.739,4.00,4981.12,0.1219,5.3900,0.0124,1,Ks
56810.135743,10.9202,0.0541,,,,,,,,,0.606,4.00,5900.48,0.1498,16.2000,31.7156,1,Ks
56810.136144,10.6945,0.0254,,,,,,,,,0.670,4.00,5880.71,0.1263,6.6500,0.3493,1,Ks
56874.240874,10.6273,0.0109,,,,,,,,,0.818,4.00,4764.33,0.0624,2.8200,0.4678,1,Ks
56874.241271,10.6288,0.0103,,,,,,,,,0.798,4.00,4758.24,0.0782,2.9800,1.7270,1,Ks
56881.034189,11.0036,0.0507,,,,,,,,,0.544,4.00,4654.78,0.1182,12.6200,24.1204,1,Ks
56881.034633,10.8965,0.0657,,,,,,,,,0.535,4.00,4642.34,0.1174,17.6200,2.9146,1,Ks
56881.140661,10.6565,0.0158,,,,,,,,,0.759,4.00,4765.48,0.0787,3.8800,6.3163,1,Ks
56881.141064,10.6226,0.0133,,,,,,,,,0.712,4.00,4762.79,0.0660,3.7900,1.2210,1,Ks
56882.120598,10.6951,0.0260,,,,,,,,,0.602,4.00,4329.19,0.1050,7.1600,3.6699,1,Ks
56882.121006,10.6449,0.0246,,,,,,,,,0.576,4.00,4343.23,0.0859,6.3600,0.2204,1,Ks
56882.156923,10.6563,0.0211,,,,,,,,,0.649,4.00,4471.90,0.1127,7.6800,0.3584,1,Ks
